,name,RA,DEC,Equinox
265,NGC260,00:48:32.5,+27:41:10,2000
266,NGC261,00:46:30.9,-73:06:49,2000
267,NGC262,00:48:51.3,+31:58:10,2000
268,NGC263,00:48:51.3,-13:05:50,2000
269,NGC264,00:48:29.4,-38:15:50,2000
270,NGC265,00:47:35.8,-73:28:49,2000
271,NGC266,00:49:51.4,+32:16:09,2000
272,NGC267,00:47:59.9,-73:16:49,2000
273,NGC268,00:50:10.3,-05:11:50,2000
274,NGC269,00:48:29.3,-73:31:50,2000
275,NGC270,00:50:39.8,-08:38:51,2000
276,NGC271,00:50:46.7,-01:52:51,2000
277,NGC272,00:51:22.2,+35:50:09,2000
278,NGC273,00:50:52.0,-06:53:51,2000
279,NGC274,00:51:04.0,-07:03:51,2000
280,NGC275,00:51:04.0,-07:03:51,2000
281,NGC276,00:52:07.8,-22:40:51,2000
282,NGC277,00:51:27.8,-08:34:51,2000
283,NGC278,00:52:01.0,+47:33:08,2000
284,NGC279,00:52:16.6,-02:11:52,2000
285,NGC280,00:52:32.3,+24:20:08,2000
286,NGC281,00:52:52.3,+56:37:08,2000
287,NGC282,00:52:45.4,+30:37:08,2000
288,NGC283,00:53:15.1,-13:10:52,2000
289,NGC284,00:53:33.1,-13:08:52,2000
290,NGC285,00:53:39.1,-13:09:52,2000
291,NGC286,00:53:33.1,-13:05:52,2000
292,NGC287,00:53:33.8,+32:29:08,2000
293,NGC288,00:52:37.1,-26:35:52,2000
294,NGC289,00:52:48.3,-31:12:52,2000
295,NGC290,00:51:16.6,-73:08:51,2000
296,NGC291,00:53:33.7,-08:44:52,2000
297,NGC292,00:52:46.3,-72:49:52,2000
298,NGC293,00:54:15.9,-07:13:52,2000
299,NGC294,00:52:03.9,-73:20:51,2000
300,NGC295,00:55:09.7,+31:31:07,2000
301,NGC296,00:55:21.8,+31:40:07,2000
302,NGC297,00:55:03.9,-07:20:53,2000
303,NGC298,00:54:57.9,-07:20:53,2000
304,NGC299,00:53:58.8,-72:09:52,2000
305,NGC300,00:54:58.8,-37:41:53,2000
306,NGC301,00:57:51.4,-10:26:54,2000
307,NGC302,00:55:57.4,-10:38:53,2000
308,NGC303,00:54:50.6,-16:39:53,2000
309,NGC304,00:56:08.5,+24:07:06,2000
310,NGC305,00:56:00.6,+12:06:07,2000
311,NGC306,00:54:52.3,-72:12:53,2000
312,NGC307,00:56:34.7,-01:45:54,2000
313,NGC308,00:56:22.7,-01:46:54,2000
314,NGC309,00:56:27.5,-09:56:54,2000
315,NGC309,00:56:57.5,-09:56:54,2000
316,NGC310,00:56:52.7,-01:45:54,2000
317,NGC311,00:57:33.7,+30:16:06,2000
318,NGC312,00:56:18.3,-52:46:53,2000
319,NGC313,00:57:45.7,+30:22:05,2000
320,NGC314,00:56:47.8,-31:58:54,2000
321,NGC315,00:57:51.7,+30:21:05,2000
322,NGC316,00:57:51.7,+30:21:05,2000
323,NGC317,00:57:36.8,+43:47:06,2000
324,NGC317,00:57:42.8,+43:47:05,2000
325,NGC318,00:58:03.8,+30:25:05,2000
326,NGC319,00:57:09.1,-43:51:54,2000
327,NGC320,00:58:49.7,-20:49:55,2000
328,NGC321,00:57:34.2,-04:59:54,2000
329,NGC322,00:57:21.1,-43:43:54,2000
330,NGC323,00:56:48.1,-52:58:54,2000
